replicate,position,axis,bin_left,colony_count,regrowth_fraction
rep1,pos0,y,0.0,0,0.0
rep1,pos0,y,5.0,0,0.0
rep1,pos0,y,10.0,0,0.0
rep1,pos0,y,15.0,1,0.00626332329736501
rep1,pos0,y,20.0,0,0.0
rep1,pos0,y,25.0,0,0.0
rep1,pos0,y,30.0,0,0.0
rep1,pos0,y,35.0,0,0.0
rep1,pos0,y,40.0,0,0.0
rep1,pos0,y,45.0,0,0.0
rep1,pos10,y,0.0,0,0.0
rep1,pos10,y,5.0,0,0.0
rep1,pos10,y,10.0,0,0.0
rep1,pos10,y,15.0,1,0.00626332329736501
rep1,pos10,y,20.0,0,0.0
rep1,pos10,y,25.0,0,0.0
rep1,pos10,y,30.0,0,0.0
rep1,pos10,y,35.0,0,0.0
rep1,pos10,y,40.0,0,0.0
rep1,pos10,y,45.0,0,0.0
rep1,pos12,y,0.0,0,0.0
rep1,pos12,y,5.0,0,0.0
rep1,pos12,y,10.0,0,0.0
rep1,pos12,y,15.0,0,0.0
rep1,pos12,y,20.0,0,0.0
rep1,pos12,y,25.0,2,0.01252664659473002
rep1,pos12,y,30.0,2,0.01252664659473002
rep1,pos12,y,35.0,0,0.0
rep1,pos12,y,40.0,0,0.0
rep1,pos12,y,45.0,0,0.0
rep1,pos14,y,0.0,0,0.0
rep1,pos14,y,5.0,0,0.0
rep1,pos14,y,10.0,0,0.0
rep1,pos14,y,15.0,0,0.0
rep1,pos14,y,20.0,0,0.0
rep1,pos14,y,25.0,2,0.01252664659473002
rep1,pos14,y,30.0,2,0.01252664659473002
rep1,pos14,y,35.0,0,0.0
rep1,pos14,y,40.0,1,0.00626332329736501
rep1,pos14,y,45.0,0,0.0
rep1,pos16,y,0.0,0,0.0
rep1,pos16,y,5.0,0,0.0
rep1,pos16,y,10.0,0,0.0
rep1,pos16,y,15.0,0,0.0
rep1,pos16,y,20.0,1,0.00626332329736501
rep1,pos16,y,25.0,0,0.0
rep1,pos16,y,30.0,0,0.0
rep1,pos16,y,35.0,0,0.0
rep1,pos16,y,40.0,0,0.0
rep1,pos16,y,45.0,0,0.0
rep1,pos18,y,0.0,0,0.0
rep1,pos18,y,5.0,0,0.0
rep1,pos18,y,10.0,0,0.0
rep1,pos18,y,15.0,0,0.0
rep1,pos18,y,20.0,0,0.0
rep1,pos18,y,25.0,0,0.0
rep1,pos18,y,30.0,2,0.01252664659473002
rep1,pos18,y,35.0,0,0.0
rep1,pos18,y,40.0,0,0.0
rep1,pos18,y,45.0,0,0.0
rep1,pos2,y,0.0,0,0.0
rep1,pos2,y,5.0,0,0.0
rep1,pos2,y,10.0,0,0.0
rep1,pos2,y,15.0,0,0.0
rep1,pos2,y,20.0,0,0.0
rep1,pos2,y,25.0,2,0.01252664659473002
rep1,pos2,y,30.0,0,0.0
rep1,pos2,y,35.0,0,0.0
rep1,pos2,y,40.0,0,0.0
rep1,pos2,y,45.0,0,0.0
rep1,pos20,y,0.0,0,0.0
rep1,pos20,y,5.0,0,0.0
rep1,pos20,y,10.0,0,0.0
