replicate,position,axis,bin_left,colony_count,regrowth_fraction
rep1,pos10,y,0,8,0.053886568772733394
rep1,pos10,y,5,7,0.04715074767614172
rep1,pos10,y,10,14,0.09430149535228344
rep1,pos10,y,15,3,0.020207463289775022
rep1,pos10,y,20,3,0.020207463289775022
rep1,pos10,y,25,1,0.006735821096591674
rep1,pos10,y,30,0,0.0
rep1,pos10,y,35,0,0.0
rep1,pos10,y,40,0,0.0
rep1,pos10,y,45,0,0.0
rep1,pos11,y,0,0,0.0
rep1,pos11,y,5,6,0.040414926579550044
rep1,pos11,y,10,8,0.053886568772733394
rep1,pos11,y,15,7,0.04715074767614172
rep1,pos11,y,20,3,0.020207463289775022
rep1,pos11,y,25,1,0.006735821096591674
rep1,pos11,y,30,0,0.0
rep1,pos11,y,35,0,0.0
rep1,pos11,y,40,0,0.0
rep1,pos11,y,45,0,0.0
rep1,pos12,y,0,2,0.013471642193183348
rep1,pos12,y,5,4,0.026943284386366697
rep1,pos12,y,10,10,0.06735821096591674
rep1,pos12,y,15,2,0.013471642193183348
rep1,pos12,y,20,3,0.020207463289775022
rep1,pos12,y,25,0,0.0
rep1,pos12,y,30,1,0.006735821096591674
rep1,pos12,y,35,0,0.0
rep1,pos12,y,40,0,0.0
rep1,pos12,y,45,0,0.0
rep1,pos13,y,0,1,0.006735821096591674
rep1,pos13,y,5,8,0.053886568772733394
rep1,pos13,y,10,10,0.06735821096591674
rep1,pos13,y,15,6,0.040414926579550044
rep1,pos13,y,20,2,0.013471642193183348
rep1,pos13,y,25,0,0.0
rep1,pos13,y,30,1,0.006735821096591674
rep1,pos13,y,35,0,0.0
rep1,pos13,y,40,0,0.0
rep1,pos13,y,45,0,0.0
rep1,pos14,y,0,4,0.026943284386366697
rep1,pos14,y,5,3,0.020207463289775022
rep1,pos14,y,10,10,0.06735821096591674
rep1,pos14,y,15,7,0.04715074767614172
rep1,pos14,y,20,4,0.026943284386366697
rep1,pos14,y,25,3,0.020207463289775022
rep1,pos14,y,30,0,0.0
rep1,pos14,y,35,0,0.0
rep1,pos14,y,40,0,0.0
rep1,pos14,y,45,0,0.0
rep1,pos15,y,0,2,0.013471642193183348
rep1,pos15,y,5,4,0.026943284386366697
rep1,pos15,y,10,8,0.053886568772733394
rep1,pos15,y,15,4,0.026943284386366697
rep1,pos15,y,20,1,0.006735821096591674
rep1,pos15,y,25,2,0.013471642193183348
